,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,pop
P_0,3563401,1940269,783320,154390,69722,30324,14014,8536,8959,11030,P_0
P_1,1382612,973467,593325,149485,72471,29660,11356,6166,5601,6140,P_1
P_2,11922610,2856714,624650,109824,59792,38895,23657,15754,17721,25566,P_2
P_3,6097398,2458582,752875,136250,63443,33312,17722,11814,12542,17055,P_3
P_4,9138937,2826198,732003,131137,65858,38356,21837,14578,16231,22367,P_4
P_5,5092958,2345421,777548,139739,64639,30622,15372,9834,10625,13896,P_5
